,gene_name,count_t3d,count_t7d,count_control
5834,LINC00607,1540,2382,8259
281,AC012668.2,1059,1123,3463
12349,SPAG16,80,100,211
3764,ERBB4,71,143,196
470,AC107218.3,20,48,86
7151,MREG,21,31,86
10316,RP11-421A16.1,31,5,80
8205,PECR,9,34,73
6086,LINC01614,0,8,70
380,AC079610.1,28,40,62
4176,FN1,16,31,61
3283,DIRC3,16,31,53
13216,TNS1,11,30,48
196,AC007563.5,11,19,46
6718,MAP2,13,16,46
5075,IKZF2,18,15,46
22,ABCA12,14,18,44
8415,PLCL1,11,32,42
1394,BARD1,7,9,39
721,AGAP1,14,21,37
6782,MARCHF4,4,7,37
12263,SNHG31,22,4,35
928,ANKRD44,12,15,35
12192,SMARCAL1,4,8,35
1266,ATIC,7,10,34
13798,VWC2L,0,5,33
270,AC012462.2,14,6,32
8135,PDE11A,7,26,32
4815,HECW2,4,8,31
8138,PDE1A,3,18,29
185,AC007319.1,9,8,28
8014,PARD3B,20,26,27
8852,PTH2R,16,17,26
356,AC072062.3,0,13,26
3396,DOCK10,10,12,24
201,AC007879.5,5,6,24
8448,PLEKHM3,10,14,23
5916,LINC01090,12,8,23
3287,DIS3L2,5,14,23
287,AC013463.2,8,8,21
10817,RP11-660K21.1,4,6,20
14179,ZNF385B,1,4,19
1664,C2orf88,3,9,19
13935,XRCC5,9,9,19
13362,TRIP12,4,8,18
13045,TMEFF2,4,4,18
1865,CAVIN2-AS1,4,0,17
6547,LRP1B,31,29,16
9208,RHBDD1,3,1,16
11567,SATB2,2,8,16
5316,KANSL1L,15,7,16
6041,LINC01473,7,4,15
6136,LINC01818,2,8,15
8331,PIKFYVE,6,6,15
11409,RPL37A,4,16,14
3376,DNER,6,28,14
4468,GLS,0,0,14
13686,USP40,1,4,13
7554,NHEJ1,2,6,13
13078,TMEM169,3,9,13
407,AC092684.1,17,13,13
1014,AP1S3,3,3,13
6603,LRRFIP1,3,16,13
3343,DNAH7,3,4,13
7330,MYO3B,6,9,13
2226,CFLAR,0,3,13
1172,ARMC9,2,10,13
476,AC114765.1,3,4,13
11752,SERPINE2,4,3,13
9043,RAPGEF4,7,5,12
2188,CERS6,6,12,12
5926,LINC01117,6,2,12
14072,ZFPM2,3,9,12
374,AC074391.1,4,9,12
4735,GULP1,3,15,12
2593,CPS1,10,14,12
10098,RP11-33O4.2,0,7,12
2506,COL4A3,2,5,11
2181,CERKL,4,5,11
12385,SPEG,6,3,11
3580,EFHD1,2,5,11
12574,STK39,2,1,11
4171,FMNL2,8,2,11
313,AC018890.6,3,5,11
463,AC105760.2,9,3,11
7345,MYOSLID,3,0,11
4793,HDAC4,9,15,11
4660,GRM7,7,8,11
6131,LINC01807,2,2,11
11979,SLC25A12,2,3,10
14323,ZNF804A,1,5,10
899,ANKMY1,1,0,10
7022,MIR3681HG,17,5,10
11817,SGPP2,1,5,10
3424,DPP10,4,10,10
5649,LANCL1-AS1,1,7,10
7485,NEB,3,3,10
4023,FARSB,1,1,10
13636,UNC80,9,9,10
3738,EPHA4,2,5,10
8347,PITPNC1,2,5,10
12066,SLC39A10,3,10,10
5971,LINC01237,4,6,10
13683,USP37,6,6,10
3284,DIRC3-AS1,4,6,10
4246,FSIP2-AS1,1,0,9
13473,TTN,0,1,9
12946,THAP4,0,0,9
7724,NRXN1,13,7,9
12334,SOX5,9,2,9
1788,CAMTA1,9,25,9
3237,DGKD,5,13,9
556,ACSL3,1,2,9
1906,CCDC150,2,1,9
8298,PID1,3,5,9
341,AC067956.1,6,11,9
5151,INPP5D,2,9,9
208,AC008269.2,0,3,9
7846,OLA1,2,1,9
13474,TTN-AS1,2,0,9
13075,TMEM163,3,8,8
13456,TTC7A,6,7,8
3392,DNPEP,1,5,8
4978,HSPD1,2,1,8
1652,C2CD6,4,2,8
5247,ITGAV,5,2,8
6938,MFF-DT,0,4,8
5331,KAZN,6,8,8
756,AHR,6,7,8
2277,CHN1,6,6,8
1856,CATIP-AS2,1,1,8
7073,MMADHC-DT,7,3,8
6816,MBD5,5,3,8
200,AC007879.2,0,0,8
4712,GTF2IRD1,2,1,8
1259,ATG16L1,1,5,8
6967,MGLL,5,2,8
1227,ASIC4-AS1,1,3,8
7438,NCKAP5,8,8,8
12376,SPATS2L,4,7,8
7407,NAV2,7,12,8
7263,MTX2,0,0,8
2153,CEP128,4,3,8
6963,MGAT5,5,7,8
222,AC009478.1,2,0,8
448,AC104088.1,2,2,7
60,ABHD15-AS1,7,13,7
3117,DAW1,0,7,7
275,AC012513.6,0,1,7
9235,RIF1,5,5,7
1057,APOLD1,1,1,7
5774,LINC00298,6,0,7
5745,LIMS1,2,3,7
5407,KCNS3,0,9,7
9347,ROBO1,5,17,7
315,AC019330.1,0,4,7
